id_odsp,league,ht,at,fthg,ftag,MATCH_ID
pnGG8acC/,I1,Catania,Internazionale,2,1,365
M5CtOZ1P/,SP1,Mallorca,Valencia,1,1,366
KthHHXvg/,SP1,Getafe,Villarreal,0,0,367
dCEXFB95/,SP1,Real Madrid,Real Betis,4,1,368
8I6s1CfC/,SP1,Barcelona,Racing Santander,3,0,369
UXfjajPO/,SP1,Granada,Atletico Madrid,0,0,370
OQAGBiI3/,E0,West Brom,Wolves,2,0,371
IuQxdCIG/,E0,Arsenal,Sunderland,2,1,372
Aw5HlUAj/,E0,Newcastle,Tottenham,2,2,373
WdcqCvD9/,F1,Stade Rennes,Lorient,2,0,374
xf0iAIsM/,F1,Valenciennes,Sochaux,3,0,375
QBC5daDM/,F1,AC Ajaccio,Paris Saint-Germain,1,3,376
jiTVnKTj/,D1,FC Cologne,Hannover 96,2,0,377
fLs0ht6T/,D1,SC Freiburg,Hamburg SV,1,2,378
bZLFVM4P/,I1,Genoa,Lecce,0,0,379
6eHC9ur6/,I1,Cagliari,Siena,0,0,380
0r8sRtDt/,I1,Lazio,AS Roma,2,1,381
jX0fOvca/,I1,Novara,Bologna,0,2,382
Qq0FALSa/,I1,Atalanta,Udinese,0,0,383
hCJO6wSO/,I1,Chievo Verona,Juventus,0,0,384
v9FK7JCI/,I1,Cesena,Fiorentina,0,0,385
6wlDIDPn/,SP1,Real Zaragoza,Real Sociedad,2,0,386
E3iLGifa/,SP1,Levante,Malaga,3,0,387
OYpUEVOB/,SP1,Rayo Vallecano,Espanyol,0,1,388
jsdn0W9I/,SP1,Sevilla,Sporting Gijon,2,1,389
OEb8JgAt/,SP1,Athletic Bilbao,Osasuna,3,1,390
dfP9bcDd/,D1,FC Augsburg,Werder Bremen,1,1,391
4EHAPAn3/,E0,Newcastle,Wigan,1,0,392
CzD73TPq/,E0,Bolton,Sunderland,0,2,393
YqGMTYUR/,E0,Wolves,Swansea,2,2,394
hjWz9k2M/,E0,Aston Villa,West Brom,1,2,395
plBF17fd/,E0,Liverpool,Norwich City,1,1,396
hzAZQwS2/,F1,Marseille,AC Ajaccio,2,0,397
Is7oOyCL/,F1,St Etienne,Valenciennes,1,0,398
nD7r2fk2/,F1,Lorient,Toulouse,0,0,399
06djNeRR/,F1,Sochaux,Evian Thonon Gaillard,1,1,400
0d5W4d5q/,F1,Bordeaux,Brest,1,1,401
vm4z4GKk/,F1,Caen,Montpellier,1,3,402
WQ8wQcs9/,F1,AS Nancy Lorraine,Nice,1,0,403
l4II6L5G/,D1,Hamburg SV,VfL Wolfsburg,1,1,404
pKL5awbj/,D1,TSG Hoffenheim,Borussia Monchengladbach,1,0,405
hxP98sy4/,D1,Borussia Dortmund,FC Cologne,5,0,406
0npZ4azT/,D1,Nurnberg,VfB Stuttgart,2,2,407
EFy0Ntjc/,D1,Hertha Berlin,Mainz,0,0,408
2eW00Jrp/,D1,Kaiserslautern,SC Freiburg,1,0,409
jB90KxsI/,I1,Fiorentina,Catania,2,2,410
nw39IGBU/,I1,Juventus,Genoa,2,2,411
rmPEQ88H/,SP1,Racing Santander,Espanyol,0,1,412
dnqxD9gO/,SP1,Sporting Gijon,Granada,2,0,413
8AUBTUw5/,SP1,Malaga,Real Madrid,0,4,414
2PqYDkvI/,SP1,Barcelona,Sevilla,0,0,415
As9O9VnG/,E0,Arsenal,Stoke City,3,1,416
byHEOU19/,E0,QPR,Chelsea,1,0,417
6cCB2muj/,E0,Fulham,Everton,1,3,418
zFLu89HS/,E0,Blackburn,Tottenham,1,2,419
QNI6QjXd/,E0,Manchester Utd,Manchester City,1,6,420
K2N39xcS/,F1,AJ Auxerre,Stade Rennes,0,1,421
Y93v3zzd/,F1,Lille,Lyon,3,1,422
vi8sPHdF/,F1,Paris Saint-Germain,Dijon FCO,2,0,423
WCuV5uLM/,D1,Hannover 96,Bayern Munich,2,1,424
6uTD71jA/,D1,Bayer Leverkusen,Schalke 04,0,1,425
CKAdLIRB/,I1,Cagliari,Napoli,0,0,426
AafvzIt5/,I1,Udinese,Novara,3,0,427
